external_gene_name,logfc,padj
AC135178.2,-0.6,0.1214
AC135178.1,5.1,0.9839
AC135178.1,-3,0.2696
AC135178.5,-1.1,0.5698
ODF4,-1.7,0.9749
KRBA2,4.2,0.7202
AC135178.4,-8,0.3962
AC135178.3,8.8,0.2889
RPL26,-9.1,0.5642
RNF222,6.4,0.0151
NDEL1,8.7,0.1238
MYH10,-3,0.8398
RNU7-43P,3.5,0.2856
PPIAP52,0.1,0.5366
AC025518.1,9.5,0.9704
CCDC42,-3.8,0.537
SPDYE4,9.1,0.0911
SPDYE4,7.9,0.5911
MFSD6L,-9.5,0.1341
PIK3R6,-9.7,0.9744
PIK3R5,0.1,0.2781
AC002091.2,9.2,0.3638
AC002091.1,3.7,0.4705
NTN1,8.8,0.81
AC005695.1,4.4,0.9119
AC005695.3,-4.5,0.2349
STX8,-0.1,0.6557
AC005695.2,8.4,0.8726
AC087501.1,5.1,0.9772
AC087501.2,-4.6,0.341
AC087501.3,10,0.9895
AC087501.4,-4.5,0.2978
CFAP52,-4.1,0.88
RPL19P18,-9.5,0.5863
AC118755.2,-4.6,0.2421
USP43,4.4,0.9173
AC118755.1,-1.6,0.0182
AC027045.2,7.1,0.6508
DHRS7C,-0.2,0.6093
AC027045.1,-9.5,0.7741
GSG1L2,-9.4,0.4288
AC027045.3,8.7,0.8626
GLP2R,-2.3,0.6781
NPM1P45,-9,0.2981
RCVRN,6.7,0.451
GAS7,8.2,0.1529
RPS27AP1,0.3,0.0969
AC005291.2,2.9,0.5337
MYH13,5.4,0.4821
AC005291.1,2,0.2563
MYHAS,6.9,0.1534
AC005323.2,-9.9,0.3272
MYH8,5.9,0.5448
MYH4,9.5,0.2551
MYH1,-8.7,0.1616
MYH2,-4.1,0.3514
AC005323.1,-8.3,0.0899
MYH3,8.4,0.9066
AC002347.1,-9.3,0.3918
SCO1,3.7,0.8234
AC002347.2,-1.9,0.3274
ADPRM,-8.7,0.3548
TMEM220,2.4,0.1795
MAGOH2P,-6.8,0.2138
TMEM220-AS1,-7.5,0.5912
AC015908.7,-4.1,0.9149
AC015908.3,-2.2,0.0253
AC015908.1,-9.2,0.7272
AC015908.4,-8.3,0.7756
AC015908.6,-0.9,0.5647
TMEM238L,-6.4,0.9782
AC015908.5,5.9,0.8511
PIRT,5.1,0.984
AC015908.2,-3.1,0.7051
RNU6-1065P,-2,0.5895
RPL15P21,-2.8,0.4919
RN7SL601P,5.6,0.9877
AC005548.1,-9.1,0.1879
SHISA6,-5.9,0.7092
AC005725.1,-8,0.5557
DNAH9,0.3,0.4717
AC005209.1,-6.8,0.6058
AC005410.2,1.2,0.786
ZNF18,3.4,0.9478
AC005410.1,-5.2,0.7091
MAP2K4,-6.9,0.4928
RNU11-2P,2.8,0.7472
MIR744,-9.2,0.5028
AC005244.1,-5.3,0.1731
AC005244.2,9.6,0.2556
AC084167.1,5.1,0.5585
LINC00670,8.6,0.2489
AC068442.1,6.4,0.3973
MYOCD,-7,0.0702
MYOCD-AS1,-3.8,0.3133
AC005358.1,2.5,0.4086
ARHGAP44,-7.8,0.752
MIR1269B,-7.6,0.3011
AC005274.1,3.5,0.163
AC005277.2,-5.2,0.8118
AC005277.1,7,0.9462
ELAC2,5.5,0.1327
AC005303.1,-0.6,0.3872
LINC02093,7.4,0.175
HS3ST3A1,4.5,0.4464
MIR548H3,0.4,0.8815
COX10-AS1,-8.4,0.4676
AC005304.2,6.3,0.1784
AC005304.1,1.5,0.8708
AC005304.3,-6.9,0.5755
CDRT15P1,-4.5,0.0973
COX10,-5,0.0201
AC005389.1,2.3,0.8021
CDRT15,-7.9,0.8495
AC005224.1,-7.5,0.3326
HS3ST3B1,-7.5,0.4794
AC005224.3,-3.3,0.0228
AC005224.2,-4.7,0.8879
AC022816.1,1.3,0.3414
RPS18P12,2.6,0.7979
AC013248.1,7.6,0.5595
AC005863.1,-5,0.5833
LINC02096,2.4,0.7036
RPL23AP76,-5.2,0.9265
AC005772.1,4.8,0.9199
CDRT7,6.8,0.4247
AC005772.2,2.9,0.2607
CDRT8,9.8,0.77
PMP22,-0.9,0.9311
MIR4731,-5.1,0.8376
AC005703.5,-6.7,0.471
AC005703.2,7.9,0.9876
AC005703.6,-6.3,0.2539
AC005703.1,5.5,0.7619
TEKT3,-0.3,0.5307
RNU6-799P,5.8,0.05
AC005703.4,-3.9,0.7669
AC005703.3,4.1,0.8059
RN7SL792P,6.9,0.3558
CDRT4,-2.6,0.8747
TVP23C-CDRT4,0.8,0.9185
TVP23C,6.5,0.3981
RPL9P2,4,0.112
PPIAP53,-0.4,0.6764
AC005838.2,-5.1,0.1171
CDRT1,-0.6,0.7256
AC005324.3,3.8,0.6494
SNORA74,5.2,0.4799
AC005838.1,-6.8,0.295
TRIM16,-4.1,0.083
AC005324.5,5,0.926
ZNF29P,9.8,0.7253
ZNF286A,7.4,0.8981
AC005324.4,4,0.361
UBE2SP1,-7.2,0.2984
TBC1D26,-3.5,0.8434
AC005324.1,1,0.0691
AC005324.6,-4.9,0.1084
AC005324.2,-4,0.4004
CDRT15P2,-5.8,0.6925
ZSWIM5P1,1.6,0.9612
RNA5SP436,10,0.4204
IL6STP1,-4.9,0.1411
MEIS3P1,-7.9,0.0833
AC015922.2,2.2,0.6909
AC015922.3,3.4,0.585
AC015922.1,-1,0.2904
LINC02087,5,0.9177
SPECC1P1,4.1,0.349
ADORA2B,5.1,0.6826
ZSWIM7,4.6,0.561
TTC19,-0.2,0.1627
AC002553.2,6.5,0.2921
NCOR1,-0.2,0.6967
AC002553.1,-9.2,0.4866
RPLP1P11,1.7,0.3169
RPL22P21,7.5,0.7059
RNU6-314P,-8,0.0997
RNU6-862P,2,0.4071
RN7SL442P,9.4,0.5438
PIGL,6.2,0.9925
MIR1288,9.4,0.1423
CENPV,0.7,0.9914
UBB,-8.9,0.321
AC093484.3,-1.5,0.4231
FTLP12,4.6,0.6448
AC093484.2,6.8,0.2087
TRPV2,0,0.1232
AC093484.1,3.6,0.9605
SNHG29,-7.5,0.9266
SNORD49B,-5.9,0.0352
SNORD49A,-1.4,0.7537
AC093484.4,10,0.2257
SNORD65,5.9,0.0753
LRRC75A,6.2,0.8745
AC127540.2,-2.6,0.2679
ZNF287,2,0.5462
AC127540.1,8,0.875
AC005822.1,1.3,0.6371
ZNF624,-4.2,0.3651
AC098850.2,6.7,0.9604
NEK4P2,-7.7,0.1764
RNASEH1P2,-0.8,0.1972
CCDC144A,4.8,0.0644
AC098850.3,-4,0.361
RNU6-405P,-3.5,0.024
RN7SL620P,2.3,0.4251
UPF3AP1,-9.4,0.8049
USP32P1,-0.4,0.8692
SRP68P1,8.5,0.1588
AC098850.4,10,0.4249
AC098850.1,9.4,0.014
FAM106C,-0.2,0.6969
AC022596.1,3.5,0.4271
NOS2P4,-4.2,0.4319
KRT16P6,9.8,0.1059
KRT16P2,1.1,0.9055
KRT17P1,-8.6,1
KRT17P4,-8.3,0.8257
COTL1P1,-8,0.8657
AC022596.2,-8.6,0.5158
AL353996.1,-5,0.2903
TBC1D27P,-1.5,0.1899
TNFRSF13B,-8.6,0.8109
AC104024.1,-4.6,0.8212
LINC02090,8.4,0.8622
AC104024.2,9.5,0.7944
AC104024.3,-4.3,0.843
AC104024.4,-7.9,0.9131
MPRIP,6.2,0.6884
MPRIP-AS1,0.6,0.5859
AC055811.1,-8.4,0.7964
RNU6-767P,6.9,0.4563
RN7SL775P,4.7,0.2066
AC055811.4,-7.5,0.3295
PLD6,1.7,0.8444
AC055811.2,-0.9,0.1862
FLCN,9.2,0.9329
AC055811.3,-6.6,0.5092
ACTG1P24,-7.3,0.7929
COPS3,0.7,0.1212
NT5M,-9.5,0.7042
RPL13P12,-2.7,0.0774
AC073621.2,6.1,0.5262
TSEN15P1,2.3,0.3068
AC073621.1,-2.2,0.4964
MED9,-6.5,0.3863
RASD1,5.2,0.0767
AC020558.6,-6.6,0.6259
PEMT,-5.4,0.0279
AC020558.2,-5.8,0.867
RNU6-468P,-7.1,0.6866
AC020558.1,9,0.0389
AC020558.5,-8.9,0.6738
SMCR2,-4.7,0.5897
AC020558.3,-4.8,0.5392
AC020558.4,-6.5,0.0537
RAI1,-7.2,0.3934
RAI1-AS1,8.1,0.8961
SMCR5,4.6,0.0481
AC122129.2,4.2,0.3759
SREBF1,0.1,0.8402
MIR6777,4.7,0.064
MIR33B,1.4,0.02
TOM1L2,-3.5,0.4119
AC122129.1,-5.9,0.8787
DRC3,-7.1,0.741
ATPAF2,6.7,0.2831
AC087163.1,-3.8,0.0274
AC087163.2,9.6,0.2523
AC087163.3,-6.1,0.5187
GID4,6.8,0.212
DRG2,-2.7,0.7909
AC087164.2,4.7,0.9613
MYO15A,-1.8,0.9652
AC087164.1,6.9,0.6482
ALKBH5,6,0.7962
LLGL1,7.3,0.3099
FLII,-4.2,0.536
MIEF2,6.9,0.6913
AC127537.1,2,0.2142
TOP3A,1.1,0.0782
RPL7AP65,0,0.6262
RPL21P121,3.2,0.8287
SMCR8,-9.8,0.5857
SHMT1,-5.4,0.2814
MIR6778,4.6,0.9075
EVPLL,1.7,0.1638
AL353997.2,0.3,0.3663
AL353997.3,3.5,0.786
AL353997.5,-6.4,0.3325
TBC1D3P4,0.3,0.6792
LINC02076,-3.8,0.1391
KRT17P5,-0.4,0.7059
YWHAEP2,5.6,0.9185
KRT17P2,-0.4,0.8254
KRT16P1,2.5,0.4979
KRT16P4,-2.7,0.2276
AL353997.1,1.2,0.3651
AL353997.4,1.3,0.6639
TNPO1P2,-0.8,0.0932
LGALS9C,-5.9,0.6078
NOS2P2,6.1,0.8444
FAM106A,-7.4,0.7215
USP32P2,-9.2,0.3252
SRP68P2,7.8,0.7646
CCDC144B,-1.5,0.8425
AC107983.1,-6.3,0.9842
AC026271.4,-5,0.9135
TBC1D28,-0.7,0.0596
AC026271.2,0.5,0.7648
AC026271.5,1.8,0.8886
AC026271.1,-0.9,0.9243
ZNF286B,1.5,0.8624
FOXO3B,-9.8,0.0849
UBE2SP2,4,0.9548
TRIM16L,-3.5,0.04
AC026271.3,-0.5,0.6397
FBXW10,7.2,0.3391
TVP23B,0.2,0.2913
AC107982.3,-1.7,0.6214
AC107982.1,1,0.2133
PRPSAP2,5.3,0.6826
RN7SL627P,-4.8,0.6161
AC107982.2,2.2,0.8477
AC090286.3,-8.2,0.4065
AC090286.2,-7.3,0.2136
SLC5A10,-6.6,0.0474
AC090286.1,2.8,0.3801
FAM83G,-3.5,0.8345
AC090286.4,2.4,0.2186
GRAP,-7.8,0.0984
AC003957.1,-1,0.5149
SNORD3B-1,-1.2,0.814
SNORD3B-2,-8.7,0.4355
AC007952.3,6.4,0.3904
KYNUP2,4.1,0.2317
AC007952.7,-5,0.937
AC007952.2,7.2,0.7806
AC007952.4,9.3,0.9334
SNORD3D,2.5,0.5162
SNORD3D,-6.1,0.0606
GRAPL,-6.8,0.5792
AC007952.6,-8.8,0.4095
AC007952.9,1.4,0.4058
AC007952.1,-2.6,0.1131
AC007952.5,7.8,0.5531
AC007952.8,-1.1,0.6265
KYNUP1,-2.7,0.4229
SNORD3A,5.8,0.0433
SNORD3C,-1.8,0.0704
AC106017.1,-5.9,0.003
KYNUP3,0.6,0.9463
EPN2,-5.2,0.6977
AC106017.2,-2.2,0.9582
EPN2-AS1,7.1,0.9694
B9D1,4.1,0.9624
MIR1180,-2.8,0.2251
AC124066.1,3.4,0.1755
MAPK7,8,0.7324
MFAP4,0.2,0.2797
AC004448.5,-6.1,0.1361
RNF112,-9.1,0.8126
AC004448.3,-1.5,0.6044
AC004448.2,-0.9,0.9249
LINC02094,-8.5,0.589
AC004448.4,-4.4,0.5742
RPS2P46,0.1,0.8823
AC004448.1,2.4,0.9023
SLC47A1,7.3,0.9531
RPL17P43,9.4,0.6681
SNORA59B,-8.8,0.3762
AC025627.1,8.2,0.8027
SLC47A1P1,9.1,0.5615
AC025627.2,9.2,0.7858
AC025627.3,5.3,0.1223
AC025627.4,-7.3,0.0817
MTND1P14,-3.3,0.6287
NMTRQ-TTG12-1,5.5,0.8823
MTND2P12,-8.6,0.6381
MTCO1P39,3.9,0.0388
SLC47A1P2,2.8,0.7383
ALDH3A2,-4,0.1642
AC115989.1,7.3,0.9004
AC115989.2,-1.4,0.3305
AC005722.2,5.5,0.4826
SLC47A2,-0.6,0.8791
AC005722.3,-7.2,0.2609
AC005722.4,-8.8,0.8898
ALDH3A1,-3.2,0.223
AC005722.1,5.9,0.1259
ULK2,4.8,0.955
NDUFB4P3,-0.6,0.6209
AC015726.3,-4.7,0.4059
AC015726.2,3.4,0.2129
AC015726.1,-0.3,0.1594
AKAP10,9.1,0.1348
AC005730.3,-5.8,0.281
AC005730.2,-1.7,0.8115
SPECC1,-4.5,0.5117
AC005730.1,-9.7,0.1513
KCTD9P1,-3.2,0.4793
RNU6-258P,-6.2,0.3414
AC004702.1,0.3,0.5874
RNU6-1057P,3.6,0.5959
CCDC144CP,-7.7,0.051
RNU6-467P,4.6,0.2795
AC008088.1,0.2,0.8503
Metazoa_SRP,1.8,0.1049
UPF3AP2,-4.3,0.8652
USP32P3,-2.2,0.2904
SRP68P3,-6.5,0.757
AC015818.9,-6.5,0.6292
AC015818.10,3.1,0.4421
NOS2P3,-2.6,0.8441
LGALS9B,-6.1,0.2239
TNPO1P3,6.1,0.7318
YWHAEP3,3.3,0.948
KRT16P5,1.3,0.9199
KRT16P3,5.4,0.6117
AC015818.7,-2,0.9822
KRT17P6,-2.3,0.6835
KRT17P7,0.3,0.8438
AC015818.6,6.1,0.9887
AC015818.2,-7.6,0.6871
AC015818.5,4,0.952
TBC1D3P3,4.6,0.6025
AC015818.8,10,0.9122
AC015818.1,-1.1,0.6942
AC015818.3,-8.9,0.3072
COTL1P2,-9,0.061
AC015818.4,2.6,0.0348
CDRT15L2,5.8,0.342
ZSWIM5P2,-1,0.2117
MEIS3P2,9.2,0.6889
AC087499.3,-5.1,0.8272
AC087499.1,-6.1,0.044
AC087499.4,-2,0.6655
LINC02088,1.8,0.2976
AC087499.7,-9.1,0.1011
AC087499.5,6.2,0.256
AC087499.6,-8.1,0.5695
AC087499.2,9.2,0.3962
RNFT1P3,-6.4,0.0342
HNRNPA1P19,-4.3,0.0466
OLA1P2,-0.3,0.1757
SCDP1,-7.3,0.8962
AC126365.1,-8.4,0.1998
AC126365.2,3.2,0.0804
ABHD17AP6,1.6,0.5387
CCDC144NL,-9.1,0.959
AC090774.2,3.2,0.9171
CCDC144NL-AS1,3.9,1
RNU6-1178P,-2.7,0.5604
RNASEH1P1,3.1,0.9436
AC090774.1,-1,0.9875
SPECC1P2,-0.9,0.4123
AC107926.1,-8.5,0.0369
AC087393.3,-2,0.9335
AC087393.1,-8.9,0.5368
USP22,8.3,0.4122
AC087393.2,-3.9,0.1919
LINC01563,3.6,0.9613
DHRS7B,-2.3,0.064
TMEM11,-6.7,0.0041
AC087294.1,5.4,0.873
RN7SL426P,-9.9,0.6612
NATD1,6.8,0.007
EIF1P5,-1.8,0.1261
MAP2K3,-5.4,0.9749
KCNJ12,1,0.6584
LINC02693,-3.5,0.2519
AC068418.3,5.1,0.5778
PDLIM1P2,-4.3,0.1538
AC068418.2,6.2,0.0773
AC068418.1,-3.6,0.8367
RPL21P120,-3.5,0.453
AC233702.5,7.7,0.1659
AC233702.7,1.4,0.871
AC233702.8,-8.4,0.023
AC233702.6,-7.8,0.1467
AC233702.3,-9.9,0.7142
AC233702.2,-8.5,0.3728
AC233702.1,-6.4,0.6136
AC233702.4,-3.2,0.5769
AC233702.9,-7.2,0.6395
KCNJ18,-2.2,0.1057
AC243725.1,-6.5,0.7013
ABBA01006766.1,-4.2,0.8842
NCOR1P2,9.3,0.3513
UBBP4,-1.3,0.089
FTLP13,4.5,0.413
LINC02002,-7.3,0.0902
AC138761.1,-7.6,0.8658
AC138761.2,8.2,0.8856
FAM27E5,8.7,0.4375
AC087575.1,-4.9,0.1176
FLJ36000,9,0.7836
AC132825.3,-0.6,0.4807
AC132825.4,4.5,0.1389
AC132825.5,6.6,0.3157
MTCYBP13,2,0.858
MTRNR2L1,-5.4,0.3323
AC132825.2,-4.8,0.1163
MTND1P15,9.7,0.4135
MTND2P13,-1.1,0.0486
AC132825.1,6.7,0.6543
NMTRS-TGA3-1,-8.6,0.182
MTATP6P3,-5.2,0.3186
MTCO3P13,5.3,0.1852
AC132825.7,-9.6,0.4169
AC132825.8,-8,0.1144
AC132825.6,-0.8,0.525
AC131055.2,-5,0.836
AC131055.1,-5.3,0.8458
AC131274.3,7.3,0.8926
AC131274.1,3.2,0.8794
AC131274.2,-0.6,0.1512
AC069061.1,-7.2,0.2806
AC069061.2,-4.9,0.7112
PDLIM1P3,-6.8,0.9405
GTF2IP6,2.2,0.6725
VN1R71P,10,0.9788
TUFMP1,-6.5,0.262
AC129926.2,4.8,0.556
AC129926.1,-7.6,0.5455
RPL34P31,-6,0.0554
RPS16P8,6,0.8991
AC026254.1,-8.7,0.5434
MIR4522,6.9,0.39
WSB1,-2.1,0.852
AC026254.2,7,0.5792
SYPL1P2,-1.6,0.2386
AC090615.1,-8.2,0.9706
TBC1D3P5,-2,0.6391
KSR1,-0.3,0.0917
AC069366.2,-5.3,0.2919
AC069366.1,8.4,0.1129
ITM2BP1,6.6,0.199
AC015688.4,9.8,0.1417
AC015688.6,6.1,0.3623
LGALS9,-9.5,0.0828
NOS2P1,-5.5,0.2911
AC015688.3,0.8,0.8951
AC015688.5,1.9,0.8022
CPDP1,-5.7,0.067
AC015688.2,2.5,0.3893
AC015688.1,-4.8,0.3244
AC130289.1,1.2,0.9064
AC130289.2,-0.6,0.9323
LGALS9DP,6.3,0.2665
NOS2,6.7,0.0039
AC005697.1,-5.4,0.5576
AC005697.2,-9.2,0.4575
LYRM9,9,0.9642
LINC01992,6.3,0.1398
AC005697.3,-4.2,0.2667
AC090287.1,-5.4,0.6699
AC090287.1,6.8,0.6553
AC090287.2,-1,0.6566
SNORA70,-1.3,0.2259
NLK,9.4,0.3528
AC100852.1,6.4,0.6522
RPS29P22,3.6,0.8341
AC061975.8,7.4,0.6337
AC061975.7,-5.4,0.6161
PYY2,3.7,0.8337
ERVE-1,-4.5,0.0622
AC061975.6,-2.6,0.0545
PPY2P,-2.8,0.9954
AC061975.2,-1.4,0.2358
AC061975.4,-3.5,0.6099
AC061975.1,-7.2,0.071
AC061975.5,-6.6,0.028
AC061975.3,5.4,0.9095
KRT18P55,5.4,0.4348
TMEM97,7.2,0.7392
IFT20,0.8,0.4304
TNFAIP1,-2.4,0.3765
POLDIP2,3.9,0.834
TMEM199,-6.2,0.0512
AC002094.1,-4.4,0.7087
MIR4723,1.2,0.6146
AC002094.2,2.9,0.503
SEBOX,0.6,0.6624
AC002094.3,-7.5,0.2544
SARM1,9.2,0.543
VTN,-10,0.2281
AC002094.4,-6,0.2962
AC002094.5,-6.8,0.7684
SLC46A1,-0.6,0.1751
AC015917.2,-1.7,0.6443
H3P41,10,0.7413
AC015917.1,7,0.8104
AC005726.1,-3,0.1748
RPS7P1,-4,0.3617
SLC13A2,-7.7,0.5886
FOXN1,-8.1,0.0222
UNC119,7.8,0.2849
PIGS,-1.2,0.7337
ALDOC,9.8,0.1921
AC005726.3,1.6,0.6931
SPAG5,5.4,0.0432
SPAG5-AS1,-3.5,0.4607
RSKR,-7.9,0.403
AC005726.4,-8.7,0.2291
KIAA0100,8.7,0.8206
AC005726.2,2.5,0.3197
SDF2,-5.8,0.8098
RPS12P28,1.7,0.9312
SUPT6H,-9.5,0.1463
AC010761.3,4.3,0.6056
PROCA1,-8.1,0.5511
RAB34,-4.3,0.4384
RPL23A,7.8,0.2501
SNORD42B,6.2,0.3582
AC010761.1,8.2,0.5383
SNORD4A,-4.4,0.6293
SNORD42A,8.2,0.8595
SNORD4B,-2.8,0.945
TLCD1,-8,0.4139
NEK8,4.9,0.0136
AC010761.6,-1.5,0.8562
AC010761.2,8.5,0.8661
TRAF4,-8.3,0.8339
AC010761.4,-0.7,0.601
AC010761.5,1.7,0.4762
FAM222B,-3.1,0.7774
RPL31P58,7.3,0.5544
Y_RNA,9.1,0.3251
AC024267.2,9.4,0.703
ERAL1,-2.9,0.749
AC024267.1,7.6,0.3955
MIR451A,-9.6,0.0333
MIR451B,-9,0.5312
MIR144,7.4,0.7475
MIR4732,-3.8,0.9403
FLOT2,-6.1,0.2632
AC024267.3,1.8,0.5988
AC024267.6,-5,0.098
DHRS13,1.9,0.5616
PHF12,-4.5,0.7835
AC024267.4,3.2,0.2442
AC024267.5,-6.1,0.7627
PIPOX,3.1,0.419
SEZ6,-4.2,0.7359
AC024619.2,-2.1,0.828
AC024619.1,3.4,0.9811
AC024619.4,6.9,0.5298
MYO18A,-3.9,0.9202
TIAF1,-4.4,0.8476
AC024619.3,4.8,0.1483
AC005412.1,-1.5,0.6754
TWF1P1,-7,0.214
CRYBA1,5.6,0.6385
NUFIP2,1.4,0.9768
RPL35AP35,6.6,0.7445
AC068025.2,3.9,0.4966
AC068025.1,-4.1,0.2739
RNU4-34P,6.9,0.063
TAOK1,8.7,0.6531
MIR4523,-2.2,0.3027
RNU6-711P,3.3,0.7881
RNU6-1034P,-9,0.843
ABHD15,-6.4,0.4316
ABHD15-AS1,3.7,0.9366
TP53I13,-9.5,0.7163
AC104564.3,0.1,0.5865
GIT1,-7.2,0.3834
ANKRD13B,2.8,0.7045
AC104564.4,-9.7,0.7808
CORO6,5.1,0.124
AC104564.2,4,0.9691
SSH2,-9.5,0.7203
AC104564.1,3.7,0.1697
RNU6-920P,9,0.7932
AC104564.5,-6.9,0.45
RPL21P123,2.6,0.8079
AC023389.1,-5.4,0.1039
AC023389.2,2.9,0.3647
SNORA70,1.9,0.641
RPL9P30,-8,0.3202
AC104982.2,8.2,0.7781
AC104982.1,3.4,0.7667
EFCAB5,9.1,0.8969
AC104982.3,-3.7,0.9761
RNY4P13,-3.2,0.885
AC104996.3,-5,0.9681
AC104996.1,1.1,0.9549
AC104996.2,8,0.7715
AC104984.2,-0.4,0.2593
NSRP1,-1.4,0.692
hsa-mir-423,1.7,0.3324
MIR423,-2.8,0.125
MIR3184,-6.7,0.9081
AC104984.3,-9.1,0.873
AC104984.5,6.1,0.7604
SLC6A4,-6.9,0.7433
AC104984.1,2.7,0.1634
AC104984.4,-1,0.0221
SNORD63,4.8,0.4098
BLMH,9.9,0.804
RNU6-1267P,2.2,0.5103
TMIGD1,-2.3,0.0265
Y_RNA,-0.9,0.7148
RNU6-990P,6.5,0.5868
CPD,-5.7,0.6287
GOSR1,1.8,0.3044
ALOX12P1,-7,0.6905
AC011840.3,7.8,0.8056
AC011840.5,6.7,0.4487
TBC1D29P,4.6,0.8392
AC011840.4,-3.3,0.3068
AC011840.2,-10,0.2562
KRT17P3,8.3,0.8318
AC011840.1,5.2,0.4039
AC005562.1,3.4,0.7183
SMURF2P1,0.4,0.121
AC005562.2,-4.8,0.5532
SH3GL1P2,-0.3,0.9384
LRRC37BP1,-2.7,0.6582
RN7SL316P,2.1,0.0177
SUZ12P1,7.9,0.0086
AC127024.7,-5.2,0.4604
AC127024.3,5.6,0.4912
AC127024.2,-9.5,0.1586
AC127024.8,-7.7,0.3039
CRLF3,7,0.6201
AC127024.4,3.1,0.4428
AC127024.5,-6.6,0.29
AC127024.6,4.4,0.9465
AC127024.1,-9.1,0.1491
ATAD5,5.8,0.2046
AC130324.2,-8.6,0.8385
RNU6-298P,-2.7,0.3288
AC130324.1,1.5,0.9027
TEFM,2.5,0.4288
AC130324.3,4.2,0.7575
ADAP2,0.7,0.9695
AC138207.1,6.7,0.7846
RN7SL138P,-9.4,0.1208
AC138207.5,-4.3,0.3532
AC138207.9,-6,0.9808
RNF135,2.5,0.8755
AC138207.4,8.7,0.7961
DPRXP4,9.2,0.4779
AC138207.7,7.3,0.0272
AC138207.3,-8.2,0.6779
AC138207.8,0.4,0.7215
AC138207.6,8.4,0.2229
AC138207.2,6.3,0.1852
MIR4733,-4,0.4222
NF1,0,0.3821
AC079915.1,-6.3,0.6435
OMG,9.7,0.1099
EVI2B,-4.9,0.6703
EVI2B,2.8,0.5687
AC134669.1,0.8,0.7666
EVI2A,1.2,0.4687
AK4P1,2.5,0.7762
RAB11FIP4,7.4,0.7701
RN7SL79P,-6.5,0.1667
RN7SL45P,-0.2,0.2362
AC003101.3,6.8,0.7452
MIR4724,-8.4,0.6648
MIR193A,-7.3,0.074
AC003101.2,5,0.9074
RNU6ATAC7P,-8.9,0.4793
AC003101.1,2.5,0.8602
MIR4725,7,0.0007
MIR365B,7.1,0.6991
AC007923.3,2,0.2976
AC007923.2,-5.3,0.1551
RNU6-1134P,-2.3,0.3588
GPR160P2,4.1,0.5023
AC007923.1,-6.8,0.5717
AC004253.2,-3.9,0.5693
COPRS,0.3,0.5803
UTP6,8.4,0.2448
AC004253.1,-8.6,0.7287
SUZ12,-3.2,0.3851
RNA5SP437,7.9,0.0462
AC090616.3,-5.7,0.646
LRRC37B,-5.1,0.7386
LRRC37B,-6.6,0.6728
AC090616.4,-5.1,0.8166
SH3GL1P1,8.8,0.5746
AC090616.6,6.3,0.853
AC090616.2,2.7,0.9691
AC090616.5,1.9,0.3122
AC090616.1,-2.8,0.4134
WDR45BP1,9.8,0.29
AC116407.2,6.9,0.8559
AC116407.1,0.6,0.1985
RHOT1,2.2,0.6915
ARGFXP2,-5.6,0.8202
AC116407.4,3.1,0.7756
AC116407.3,-6.4,0.6391
UBL5P2,1.3,0.1056
AC026620.2,5.8,0.7142
RHBDL3,5.8,0.516
AC026620.1,1.6,0.494
AC005899.4,8.6,0.6012
C17orf75,-0.2,0.1428
AC005899.3,5.9,0.2112
OOSP1P2,-2.5,0.3019
MIR632,-0.4,0.5486
ZNF207,-2,0.8982
AC005899.6,10,0.0565
AC005899.7,-0.5,0.3893
AC005899.5,0.4,0.2221
AC005899.8,4.7,0.5069
AC005899.1,7.8,0.8718
AC005899.2,-9.4,0.5382
PSMD11,-5.6,0.9438
Y_RNA,-5.6,0.8935
CDK5R1,8.9,0.0994
MYO1D,1.4,0.8736
AC079336.5,4.9,0.6505
AC079336.7,-8,0.7112
AC079336.2,7.7,0.204
AC079336.1,-6,0.9041
AC079336.6,5.1,0.678
AC079336.4,2.3,0.7344
AC079336.3,-1.3,0.6059
AC025211.1,5.4,0.9165
Y_RNA,0.6,0.3182
AC084809.1,5.4,0.472
AC084809.2,-8.8,0.8661
TMEM98,-7.5,0.8366
SPACA3,7.5,0.3426
ASIC2,8.3,0.5236
AC003687.1,-5.5,0.6656
AC008133.2,-6.2,0.1515
AC008133.1,5.3,0.8755
AA06,-4.5,0.3006
AC011824.3,-1.7,0.4073
AC011824.2,-0.2,0.7947
AC011824.1,1.1,0.0126
AC024614.1,-0.1,0.7991
AC024614.2,-6.7,0.4214
AC024614.3,-1,0.8933
AC024614.4,-0.5,0.7272
AC024610.2,0.3,0.6708
AC004147.4,6.2,0.5593
AC024610.1,9.9,0.5243
AC123769.1,7.7,0.7894
TLK2P1,-2.4,0.3411
AC004147.1,-5.4,0.6125
AC004147.5,4.9,0.2108
RNA5SP438,-2.1,0.1892
AC004147.3,-1.2,0.0452
AC004147.2,-2.4,0.0569
LINC01989,-5.9,0.9671
AC005549.1,-5.2,0.198
CCL2,-9.3,0.3759
CCL7,1.8,0.8561
CCL11,-0.5,0.9177
CCL8,-0.9,0.7163
CCL8,9.4,0.141
AC011193.2,-0.4,0.4938
CCL13,-4.3,0.033
CCL1,-4.7,0.2991
AC011193.1,5.4,0.8442
C17orf102,-6,0.0736
TMEM132E,-8.1,0.7073
AC005691.1,-4.4,0.0527
AC005552.1,6.8,0.5357
AC022903.1,-4.3,0.3809
CCT6B,-7.8,0.3994
AC022903.2,8.9,0.229
